SKU,Producto,Categoria,Marca,Precio,Stock Actual,Caducidad,Estado
W01VFRLHIL,Arco Acero 19x25 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
ZBJKY6JNE5,Arco Acero 20 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
PWFCRMIT9N,Arco Acero 20 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
IXI2S6RHIE,Arco Acero 21x25 inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
EL3LGYG9FF,Arco Acero 21x25 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
2FO96W7WVA,Arco Cobre 014 Ni-Ti,Materiales de Ortodoncia,3M,0.0,0,,Activo
PZDKCW3CMX,Arco Cobre 16x22 Ni-Ti,Materiales de Ortodoncia,3M,0.0,0,,Activo
FASHSMNXB6,Arco Cobre 17x25 Ni-Ti,Materiales de Ortodoncia,3M,0.0,0,,Activo
9BEAV6FEHU,Arco Cobre 018 Ni-Ti,Materiales de Ortodoncia,3M,0.0,0,,Activo
JBPDW6CX39,Arco DKL,Materiales de Ortodoncia,3M,0.0,0,,Activo
CLP5KRFTRW,Arco Ni-Ti 012 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
FGDKELNXNR,Arco Ni-Ti 012 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
4QCYFCISLP,Arco Ni-Ti 014 inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
SLLSXI1CWN,Arco Ni-Ti 014 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
FUZW3BMUHE,Arco Ni-Ti 016 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
WXQJWE05NZ,Arco Ni-Ti 16x16 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
UWEYVH70ZW,Arco Ni-Ti 16x16 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
Q4PQUXWONF,Arco Ni-Ti 16x22 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
I1AXUUNDZO,Arco Ni-Ti 16x22 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
V2SRG8OSKD,Arco Ni-Ti 16x25 superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
QFOM2YVACN,Arco Ni-Ti 17x22 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
JVI13RV6QV,Arco Ni-Ti 17x22 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
VAG5OQKR0W,Arco Ni-Ti 17x25 Inferior,Materiales de Ortodoncia,Alfa Dental,0.0,0,,Activo
W2UAG8FVBE,Arco Ni-Ti 17x25 Superior,Materiales de Ortodoncia,Alfa Dental,0.0,0,,Activo
YGTWGDE6WH,Arco Ni-Ti 018 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
ZLUKMCHAUU,Arco Ni-Ti 018 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
4LAWCSCSNA,Arco Ni-Ti 18x22 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
MNZCMJ2KGL,Arco Ni-Ti 18x22 superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
UZZIFJOH0K,Arco Ni-Ti 18x25 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
